<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;60;20220705;170000;197.7800000
GAZP;60;20220705;180000;197.0000000
GAZP;60;20220705;190000;197.3000000
GAZP;60;20220706;110000;201.9500000
GAZP;60;20220706;120000;204.3400000
GAZP;60;20220706;130000;201.5000000
GAZP;60;20220706;140000;203.0600000
GAZP;60;20220706;150000;201.8000000
GAZP;60;20220706;160000;201.7700000
GAZP;60;20220706;170000;196.6900000
GAZP;60;20220706;180000;196.3500000
GAZP;60;20220706;190000;195.4200000
GAZP;60;20220707;110000;192.8000000
GAZP;60;20220707;120000;193.5400000
GAZP;60;20220707;130000;194.0200000
GAZP;60;20220707;140000;197.2200000
GAZP;60;20220707;150000;197.2800000
GAZP;60;20220707;160000;199.3600000
GAZP;60;20220707;170000;197.2000000
GAZP;60;20220707;180000;197.2800000
GAZP;60;20220707;190000;197.9200000
GAZP;60;20220708;110000;198.4000000
GAZP;60;20220708;120000;197.1300000
GAZP;60;20220708;130000;198.0400000
GAZP;60;20220708;140000;198.2700000
GAZP;60;20220708;150000;198.3500000
GAZP;60;20220708;160000;197.7300000
GAZP;60;20220708;170000;197.8700000
GAZP;60;20220708;180000;197.6500000
GAZP;60;20220708;190000;198.0000000
GAZP;60;20220711;110000;194.8700000
GAZP;60;20220711;120000;195.0900000
GAZP;60;20220711;130000;192.3600000
GAZP;60;20220711;140000;191.0200000
GAZP;60;20220711;150000;190.9100000
GAZP;60;20220711;160000;191.1700000
GAZP;60;20220711;170000;190.3100000
GAZP;60;20220711;180000;190.2500000
GAZP;60;20220711;190000;188.9000000
GAZP;60;20220712;110000;185.3300000
GAZP;60;20220712;120000;186.6400000
GAZP;60;20220712;130000;186.0700000
GAZP;60;20220712;140000;187.1200000
GAZP;60;20220712;150000;187.3900000
GAZP;60;20220712;160000;188.1400000
GAZP;60;20220712;170000;189.8000000
GAZP;60;20220712;180000;192.8000000
GAZP;60;20220712;190000;191.4000000
GAZP;60;20220713;110000;190.6200000
GAZP;60;20220713;120000;189.0000000
GAZP;60;20220713;130000;186.6900000
GAZP;60;20220713;140000;186.9600000
GAZP;60;20220713;150000;187.5600000
GAZP;60;20220713;160000;186.1400000
GAZP;60;20220713;170000;186.5300000
GAZP;60;20220713;180000;187.1500000
GAZP;60;20220713;190000;186.0000000
GAZP;60;20220714;110000;185.7800000
GAZP;60;20220714;120000;186.7600000
GAZP;60;20220714;130000;185.6900000
GAZP;60;20220714;140000;185.2600000
GAZP;60;20220714;150000;185.3500000
GAZP;60;20220714;160000;185.2000000
GAZP;60;20220714;170000;185.8000000
GAZP;60;20220714;180000;185.5100000
GAZP;60;20220714;190000;184.5500000
GAZP;60;20220715;110000;185.1200000
GAZP;60;20220715;120000;184.9900000
GAZP;60;20220715;130000;185.2900000
GAZP;60;20220715;140000;188.0000000
GAZP;60;20220715;150000;186.4500000
GAZP;60;20220715;160000;186.9500000
GAZP;60;20220715;170000;186.8300000
GAZP;60;20220715;180000;187.5000000
GAZP;60;20220715;190000;187.6100000
GAZP;60;20220718;110000;188.0000000
GAZP;60;20220718;120000;187.7600000
GAZP;60;20220718;130000;186.6000000
GAZP;60;20220718;140000;186.8000000
